stateur,statemb,state,age,tenure,joblost,nwhite,school12,sex,bluecol,smsa,married,dkids,dykids,yrdispl,rr,head,ui,portfolio,derivatives,insurance,Sharpe
8.4,155,16,47,2,slack_work,no,no,female,yes,yes,no,yes,no,3,0.5462186,no,no,yes,yes,yes,1.092438
14.6,90,64,56,2,other,no,no,female,yes,yes,yes,yes,no,1,0.2298851,yes,yes,no,no,no,0.0
9.4,136,93,52,6,slack_work,no,no,female,yes,yes,no,no,no,1,0.3408072,yes,yes,no,no,no,0.0
14.4,194,55,47,9,other,no,no,female,yes,no,yes,yes,no,1,0.3870968,yes,yes,yes,yes,yes,0.7741936
7.6,115,11,45,8,position_abolished,no,no,female,yes,no,yes,yes,yes,1,0.2869955,yes,yes,yes,yes,yes,0.573991
9.0,124,11,52,2,position_abolished,no,no,female,yes,no,yes,yes,no,2,0.5895954,yes,yes,yes,yes,yes,1.1791908
7.8,166,93,45,5,slack_work,no,no,female,yes,yes,yes,yes,yes,3,0.3932584,no,yes,yes,yes,yes,0.7865168
7.9,151,61,42,1,slack_work,no,no,female,yes,yes,yes,yes,no,7,0.5805085,yes,yes,no,no,no,0.0
10.3,190,23,54,1,slack_work,no,no,female,yes,no,no,yes,no,1,0.5188679,no,yes,yes,yes,yes,1.0377358
5.9,200,59,42,1,slack_work,no,no,female,yes,yes,no,no,no,9,0.4979757,no,no,no,no,no,0.0
3.9,141,12,58,1,slack_work,no,yes,female,yes,yes,no,no,no,4,0.3525,yes,no,no,no,no,0.0
11.9,110,62,43,1,slack_work,no,no,female,yes,yes,yes,yes,yes,1,0.20954,yes,no,yes,yes,yes,0.41908
5.2,197,44,49,1,other,no,yes,female,yes,no,yes,yes,yes,6,0.4962406,no,no,yes,yes,yes,0.9924812
8.6,142,85,47,1,slack_work,no,no,female,yes,no,yes,yes,no,2,0.3333333,yes,yes,yes,yes,yes,0.6666666
5.4,118,57,45,1,seasonal_job_ended,no,yes,female,yes,no,no,no,no,2,0.5,no,yes,no,no,no,0.0
7.7,293,53,42,3,slack_work,yes,no,female,yes,yes,no,no,no,10,0.5658537,no,yes,no,no,no,0.0
5.7,106,46,50,2,slack_work,no,no,female,yes,no,yes,yes,yes,1,0.529148,yes,yes,yes,yes,yes,1.058296
8.5,176,84,56,1,other,no,yes,female,yes,no,yes,yes,yes,1,0.3512545,yes,yes,yes,yes,yes,0.702509
3.5,228,56,53,2,slack_work,yes,no,female,yes,no,yes,yes,no,8,0.4976959,no,yes,yes,yes,yes,0.9953918
7.8,145,64,48,1,slack_work,no,no,female,yes,yes,yes,yes,no,8,0.251497,yes,no,no,no,no,0.0
6.0,272,14,53,2,position_abolished,no,no,female,yes,yes,yes,yes,no,9,0.4534413,yes,yes,yes,yes,yes,0.9068826
8.6,142,85,55,10,slack_work,no,yes,female,yes,no,yes,yes,yes,2,0.4047619,yes,no,yes,yes,yes,0.8095238
8.0,162,88,52,24,slack_work,yes,no,female,yes,yes,yes,yes,no,4,0.52,yes,yes,no,no,no,0.0
4.1,236,56,45,7,other,no,no,female,yes,yes,yes,yes,yes,9,0.5015197,yes,yes,yes,yes,yes,1.0030394
10.3,190,23,40,2,slack_work,no,no,female,yes,yes,no,no,no,1,0.5165563,no,yes,no,no,no,0.0
14.3,182,34,48,1,other,no,yes,female,yes,yes,yes,yes,yes,1,0.2275785,yes,yes,yes,yes,yes,0.455157
8.8,140,61,59,1,slack_work,no,no,female,yes,yes,no,no,no,6,0.6190476,no,no,no,no,no,0.0
10.0,150,94,45,2,slack_work,no,no,female,yes,no,yes,yes,yes,1,0.4690554,yes,no,yes,yes,yes,0.9381108
8.6,142,85,50,19,other,no,yes,female,yes,yes,yes,yes,no,2,0.2266667,yes,no,yes,yes,yes,0.4533334
5.8,166,93,51,1,other,yes,yes,female,yes,yes,yes,yes,no,6,0.3931398,yes,no,no,no,no,0.0
7.7,147,74,52,3,other,no,no,female,yes,yes,yes,yes,no,1,0.245142,yes,no,no,no,no,0.0
5.0,185,58,51,6,slack_work,yes,no,female,yes,yes,no,yes,no,10,0.520362,yes,yes,yes,yes,yes,1.040724
8.1,171,81,57,6,other,no,no,female,yes,no,yes,yes,no,5,0.4274809,yes,yes,yes,yes,yes,0.8549618
4.9,180,21,50,8,slack_work,no,no,female,yes,yes,yes,yes,no,6,0.4978903,no,yes,no,no,no,0.0
7.7,147,74,60,11,other,no,no,female,yes,yes,yes,yes,no,1,0.2675367,yes,no,yes,yes,yes,0.5350734
4.5,167,42,40,11,slack_work,no,no,female,yes,no,no,yes,no,7,0.4779874,yes,yes,yes,yes,yes,0.9559748
7.6,166,87,52,1,slack_work,no,yes,female,yes,yes,yes,yes,yes,1,0.4985075,yes,yes,yes,yes,yes,0.997015
6.3,198,83,49,2,seasonal_job_ended,no,no,female,yes,no,no,no,no,7,0.5164835,yes,no,no,no,no,0.0
14.7,206,53,48,9,position_abolished,no,no,female,yes,yes,yes,yes,no,1,0.562724,yes,yes,no,no,no,0.0
5.3,175,56,45,13,other,no,no,female,yes,yes,no,no,no,5,0.5,yes,no,no,no,no,0.0
6.6,165,62,44,2,other,yes,no,female,yes,yes,no,yes,no,10,0.4050633,no,no,yes,yes,yes,0.8101266
6.0,156,16,53,6,slack_work,no,no,female,yes,yes,yes,yes,no,2,0.4111922,yes,yes,no,no,no,0.0
9.2,166,87,59,2,other,no,no,female,yes,no,yes,yes,yes,2,0.4982207,yes,yes,yes,yes,yes,0.9964414
6.2,205,91,40,3,position_abolished,no,no,female,yes,no,yes,yes,no,7,0.4547677,yes,no,no,no,no,0.0
7.0,189,74,59,1,slack_work,yes,no,female,yes,yes,no,no,no,4,0.52,no,no,no,no,no,0.0
10.8,188,94,42,17,other,no,no,female,yes,no,no,no,no,5,0.4954545,no,yes,no,no,no,0.0
7.1,118,57,46,4,other,no,no,female,yes,yes,no,yes,no,3,0.4206896,yes,no,yes,yes,yes,0.8413792
7.1,263,34,40,2,other,no,no,female,yes,yes,yes,yes,no,8,0.5240384,no,yes,no,no,no,0.0
8.6,145,22,59,3,slack_work,no,no,female,yes,no,yes,yes,no,1,0.6652719,no,yes,no,no,no,0.0
8.8,150,85,58,2,position_abolished,yes,yes,female,yes,no,yes,yes,yes,4,0.5,yes,no,yes,yes,yes,1.0
6.7,270,16,48,2,slack_work,no,yes,female,yes,no,yes,yes,yes,10,0.5021097,yes,no,yes,yes,yes,1.0042194
11.7,140,61,56,5,other,yes,no,female,yes,no,no,yes,no,2,0.349537,yes,yes,yes,yes,yes,0.699074
7.6,166,87,54,3,slack_work,yes,no,female,yes,no,yes,yes,yes,1,0.4983713,yes,yes,yes,yes,yes,0.9967426
