stateur,statemb,state,age,tenure,joblost,nwhite,school12,sex,bluecol,smsa,married,dkids,dykids,yrdispl,rr,head,ui,portfolio,derivatives,insurance,Sharpe
7.1,181,72,26,10,other,no,no,female,yes,yes,yes,yes,no,10,0.2765957,yes,yes,no,no,no,0.0
8.0,224,23,27,5,slack_work,no,no,female,yes,yes,yes,yes,yes,4,0.448,yes,yes,yes,yes,yes,0.896
9.4,136,93,28,2,slack_work,no,no,female,yes,no,no,no,no,1,0.4198718,no,yes,no,no,no,0.0
9.4,136,93,26,2,slack_work,no,no,female,yes,no,no,yes,no,1,0.4179105,yes,yes,yes,yes,yes,0.835821
9.7,166,93,46,2,slack_work,no,no,female,yes,yes,no,no,no,2,0.3314815,yes,yes,no,no,no,0.0
11.5,205,72,23,3,slack_work,no,no,female,yes,no,no,no,no,4,0.5205882,yes,no,no,no,no,0.0
9.7,166,93,24,29,other,no,no,female,yes,yes,yes,yes,no,2,0.2367725,yes,yes,no,no,no,0.0
9.5,140,61,20,1,slack_work,no,no,female,yes,no,yes,yes,no,4,0.2626642,yes,yes,yes,yes,yes,0.5253284
8.2,197,34,25,1,slack_work,no,yes,female,yes,yes,no,yes,no,6,0.5240964,yes,yes,no,no,no,0.0
5.4,125,21,21,2,other,yes,no,female,yes,yes,yes,yes,yes,2,0.5,yes,yes,yes,yes,yes,1.0
11.0,179,35,22,5,slack_work,no,yes,female,yes,yes,no,yes,no,1,0.5016077,yes,yes,no,no,no,0.0
6.0,193,87,23,12,other,no,no,female,yes,yes,yes,yes,yes,5,0.2025723,yes,yes,yes,yes,yes,0.4051446
5.8,245,56,25,2,other,no,no,female,yes,yes,yes,yes,no,10,0.5,no,no,yes,yes,yes,1.0
9.4,136,93,44,4,seasonal_job_ended,no,no,female,yes,no,yes,yes,yes,1,0.4170403,yes,yes,yes,yes,yes,0.8340806
9.7,166,93,44,8,seasonal_job_ended,no,no,female,yes,no,yes,yes,no,2,0.3937677,yes,yes,yes,yes,yes,0.7875354
5.1,180,21,23,13,slack_work,no,no,female,yes,yes,yes,yes,no,8,0.2994242,yes,no,yes,yes,yes,0.5988484
9.7,166,93,22,7,seasonal_job_ended,no,no,female,yes,no,yes,yes,yes,2,0.3925926,yes,yes,yes,yes,yes,0.7851852
7.2,168,12,26,1,slack_work,no,yes,female,yes,yes,no,yes,no,10,0.4162896,no,yes,no,no,no,0.0
10.3,190,23,29,4,other,no,no,female,yes,yes,no,no,no,1,0.4317719,no,yes,no,no,no,0.0
5.7,241,23,25,3,slack_work,no,yes,female,yes,yes,yes,yes,no,6,0.5211267,no,no,yes,yes,yes,1.0422534
12.3,147,31,27,3,slack_work,no,no,female,yes,yes,yes,yes,yes,1,0.3459916,yes,yes,yes,yes,yes,0.6919832
7.2,166,93,27,4,slack_work,no,no,female,yes,yes,yes,yes,no,4,0.3942857,no,no,no,no,no,0.0
3.5,228,56,30,19,position_abolished,no,no,female,yes,no,yes,yes,yes,8,0.5028571,yes,no,yes,yes,yes,1.0057142
9.7,166,93,21,2,slack_work,no,yes,female,yes,yes,no,yes,yes,2,0.3950617,yes,yes,yes,yes,yes,0.7901234
9.3,140,61,24,4,other,no,no,female,yes,no,yes,yes,no,3,0.4302671,no,yes,no,no,no,0.0
3.8,207,14,21,1,slack_work,no,no,female,yes,yes,no,no,no,5,0.4983051,no,no,no,no,no,0.0
11.6,84,32,27,3,slack_work,no,no,female,yes,no,yes,yes,yes,1,0.4215247,no,yes,yes,yes,yes,0.8430494
9.1,214,23,36,23,other,no,no,female,yes,no,yes,yes,no,3,0.519337,no,yes,no,no,no,0.0
6.7,145,82,21,5,other,no,no,female,yes,no,yes,yes,no,1,0.4982079,no,yes,no,no,no,0.0
9.9,197,34,25,3,slack_work,no,no,female,yes,no,no,no,no,4,0.49,no,no,no,no,no,0.0
7.5,188,11,30,7,slack_work,yes,no,female,yes,yes,no,no,no,10,0.5909091,yes,yes,no,no,no,0.0
4.8,185,14,22,1,slack_work,no,no,female,yes,yes,yes,yes,no,3,0.109029,yes,yes,no,no,no,0.0
6.3,150,59,33,5,other,no,no,female,yes,yes,yes,yes,no,3,0.2992278,yes,no,yes,yes,yes,0.5984556
10.0,156,94,26,1,seasonal_job_ended,yes,no,female,yes,no,yes,yes,yes,3,0.3913043,yes,yes,yes,yes,yes,0.7826086
10.0,205,72,22,5,other,no,yes,female,yes,yes,yes,yes,no,3,0.4308943,yes,yes,no,no,no,0.0
6.3,150,59,25,2,other,no,no,female,yes,yes,yes,yes,no,3,0.332618,yes,yes,no,no,no,0.0
6.8,232,23,26,3,other,no,no,female,yes,yes,yes,yes,yes,5,0.5186441,yes,no,yes,yes,yes,1.0372882
10.0,156,94,21,3,seasonal_job_ended,no,no,female,yes,no,yes,yes,no,3,0.3913043,yes,yes,no,no,no,0.0
7.2,166,93,27,1,slack_work,no,no,female,yes,yes,yes,yes,yes,4,0.3942857,yes,yes,yes,yes,yes,0.7885714
12.2,158,31,30,6,position_abolished,no,yes,female,yes,no,yes,yes,no,2,0.452381,no,yes,no,no,no,0.0
7.7,147,74,30,1,slack_work,no,yes,female,yes,yes,yes,yes,no,1,0.5206897,yes,no,no,no,no,0.0
3.3,236,14,20,3,other,no,no,female,yes,yes,no,no,no,7,0.5,no,yes,no,no,no,0.0
4.1,236,56,30,15,other,no,no,female,yes,no,yes,yes,no,9,0.5,yes,yes,no,no,no,0.0
10.8,188,94,20,4,slack_work,yes,no,female,yes,yes,yes,yes,no,5,0.1046972,yes,yes,no,no,no,0.0
6.3,157,83,25,3,position_abolished,no,yes,female,yes,no,yes,yes,no,3,0.5180723,yes,yes,no,no,no,0.0
7.2,260,21,27,3,slack_work,no,no,female,yes,no,yes,yes,yes,10,0.5,yes,yes,yes,yes,yes,1.0
7.1,183,83,23,1,seasonal_job_ended,no,no,female,yes,no,yes,yes,yes,4,0.366,yes,yes,yes,yes,yes,0.732
7.1,183,83,25,4,other,no,yes,female,yes,no,yes,yes,yes,4,0.1663636,yes,yes,yes,yes,yes,0.3327272
8.0,162,88,21,1,slack_work,no,yes,female,yes,yes,yes,yes,yes,4,0.52,yes,yes,yes,yes,yes,1.04
6.9,177,85,20,1,slack_work,no,yes,female,yes,yes,yes,yes,yes,10,0.443038,yes,no,yes,yes,yes,0.886076
7.5,210,93,21,1,slack_work,no,yes,female,yes,yes,yes,yes,no,10,0.350211,no,yes,no,no,no,0.0
5.3,165,51,27,16,slack_work,yes,no,female,yes,no,yes,yes,no,4,0.3882353,yes,yes,no,no,no,0.0
6.3,157,83,22,3,position_abolished,no,no,female,yes,no,yes,yes,no,3,0.5209003,no,yes,yes,yes,yes,1.0418006
3.6,154,13,26,12,position_abolished,no,no,female,yes,no,yes,yes,no,6,0.45625,yes,no,yes,yes,yes,0.9125
8.8,197,34,23,13,other,no,no,female,yes,yes,yes,yes,no,5,0.3025078,yes,no,yes,yes,yes,0.6050156
5.4,190,47,21,3,slack_work,no,no,female,yes,yes,yes,yes,no,5,0.5561224,yes,yes,no,no,no,0.0
4.8,146,13,22,4,slack_work,no,no,female,yes,no,yes,yes,yes,4,0.4171429,yes,no,yes,yes,yes,0.8342858
5.2,146,13,30,2,other,no,no,female,yes,no,yes,yes,no,3,0.5,no,yes,yes,yes,yes,1.0
5.2,146,13,23,2,slack_work,no,no,female,yes,no,no,yes,no,3,0.4428152,yes,no,yes,yes,yes,0.8856304
